ticker,level,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth
PGR,HIGH,2022-01-03,93.24730715845864,2022-08-01,107.89399719238281,TIME,15.707359794352566,13,0.25542395062987727
DOW,HIGH,2022-03-28,51.813251524377634,2022-06-13,47.668191402427425,STOP,-7.999999999999997,22,0.2902185350366948
A,HIGH,2022-09-12,134.08184944351976,2022-09-19,123.35530148803818,STOP,-7.999999999999999,16,0.25115032317583064
CTSH,HIGH,2023-07-17,65.4437371850184,2023-10-30,60.20823821021693,STOP,-8.000000000000002,10,0.26828788616215793
NRG,HIGH,2023-07-10,35.9249072675222,2023-10-30,43.10988872102664,TARGET,20.000000000000004,11,0.334728060347738
LEN,HIGH,2022-08-15,80.84419018966399,2022-08-22,74.37665497449088,STOP,-7.999999999999995,10,0.3153205879585085
FOX,HIGH,2023-02-13,31.77170758879542,2023-03-06,29.229970981691785,STOP,-8.0,10,0.2845409801100122
GL,HIGH,2022-01-17,102.49627206728191,2022-02-28,94.29657030189937,STOP,-7.99999999999999,12,0.3518283640670723
AVY,HIGH,2022-08-15,188.67399252630966,2022-08-29,173.5800731242049,STOP,-8.0,10,0.25955584451195496
TMUS,HIGH,2023-11-27,143.9304446280752,2024-06-03,172.71653355369025,TARGET,20.000000000000004,13,0.26453570013957484
HSIC,HIGH,2022-03-07,86.72000122070312,2022-05-02,79.78240112304688,STOP,-7.999999999999993,27,0.2527505749979648
OXY,HIGH,2023-09-11,63.05828574762488,2023-10-02,58.01362288781489,STOP,-7.999999999999999,23,0.25433645270776184
CPB,HIGH,2022-01-17,39.975943828118666,2022-02-21,36.77786832186917,STOP,-8.000000000000004,12,0.2889776417173314
RBLX,HIGH,2021-11-22,140.73500061035156,2021-11-29,129.47620056152346,STOP,-7.999999999999988,17,0.35983402326706954
JPM,HIGH,2022-11-07,121.11945144823723,2023-06-05,132.36822509765625,TIME,9.287338668493232,11,0.3294770064747529
BRK-B,HIGH,2022-01-10,321.3999938964844,2022-01-24,295.68799438476566,STOP,-7.999999999999989,14,0.3048647340931418
BABA,HIGH,2024-05-20,84.18650219530882,2024-05-27,77.45158201968411,STOP,-8.000000000000004,14,0.3380699106534056
TOST,HIGH,2022-10-24,20.780000686645508,2022-10-31,19.117600631713866,STOP,-8.000000000000004,22,0.25355938351226354
SPGI,HIGH,2024-07-15,473.693660344219,2025-02-10,535.7288208007812,TIME,13.096050390770097,15,0.27655114787660223
TDY,HIGH,2022-04-11,480.6499938964844,2022-04-25,442.19799438476565,STOP,-7.999999999999995,38,0.25061797941247305
PAYC,HIGH,2022-08-15,384.04994749086916,2022-08-22,353.32595169159964,STOP,-7.9999999999999964,13,0.2894598003782602
PFE,HIGH,2024-06-10,25.24756204432154,2024-11-11,23.227757080775817,STOP,-8.000000000000004,15,0.2629850648403296
J,HIGH,2023-07-31,101.35867086811827,2024-02-26,119.07655334472656,TIME,17.48038162384916,24,0.31108285212998216
XPEV,HIGH,2023-07-10,13.84000015258789,2023-07-24,16.608000183105467,TARGET,19.99999999999999,16,0.34310512109781177
XPEV,HIGH,2024-09-30,13.65999984741211,2024-10-07,12.56719985961914,STOP,-7.999999999999999,18,0.317979737476441
PATH,HIGH,2023-12-04,24.260000228881836,2024-01-01,22.31920021057129,STOP,-8.000000000000002,38,0.32441116920505664
DECK,HIGH,2022-08-15,55.43333435058594,2022-09-26,50.998667602539065,STOP,-7.9999999999999964,12,0.3470250828324268
CDW,HIGH,2022-08-22,178.01375906677202,2022-08-29,163.77265834143026,STOP,-8.000000000000004,13,0.2598596271965273
NOW,HIGH,2023-02-13,91.85600280761719,2023-03-06,84.50752258300781,STOP,-8.0,13,0.264874510488418
REGN,HIGH,2022-04-11,731.6968999603896,2022-04-25,673.1611479635585,STOP,-7.99999999999999,11,0.2517789017517953
LMND,HIGH,2024-07-29,23.399999618530273,2024-08-05,21.527999649047853,STOP,-7.999999999999993,21,0.3245622829825319
ADP,HIGH,2023-07-31,237.26632689991425,2023-10-23,218.28502074792112,STOP,-7.999999999999993,11,0.27806182740667057
CB,HIGH,2023-09-18,207.2568429113645,2024-02-19,248.70821149363738,TARGET,20.0,13,0.2871346812374133
CELH,HIGH,2022-07-18,27.746667861938477,2022-08-01,33.29600143432617,TARGET,20.0,16,0.2805185203511791
WMB,HIGH,2023-07-10,29.435993686053777,2024-02-05,31.481006622314453,TIME,6.947320882289647,11,0.26016801949842944
BG,HIGH,2023-07-31,101.34326715090452,2023-10-09,93.23580577883216,STOP,-8.000000000000004,23,0.3653726152693983
BG,HIGH,2025-06-23,83.02253492586627,2025-06-30,76.38073213179698,STOP,-7.999999999999989,10,0.3243781656959823
LKQ,HIGH,2025-03-10,41.93260533619909,2025-04-07,38.57799690930317,STOP,-7.999999999999988,28,0.34186800959600744
CVX,HIGH,2023-09-25,149.3537658143394,2023-10-23,137.40546454919226,STOP,-7.99999999999999,15,0.2508023640975282
ALLE,HIGH,2025-05-19,143.61983451312105,2025-08-18,172.34380141574525,TARGET,19.999999999999993,10,0.3236370751980742
WFC,HIGH,2022-01-17,51.88803317408669,2022-01-24,47.73699052015975,STOP,-8.000000000000002,24,0.2586022754056464
WHR,HIGH,2023-07-10,127.02510785650539,2023-08-14,116.86309922798496,STOP,-7.9999999999999964,12,0.2968308855037013
GILD,HIGH,2024-01-08,77.44184748457705,2024-02-05,71.24649968581089,STOP,-8.0,27,0.26249398559630144
JBHT,HIGH,2021-10-25,187.93919017791242,2022-04-04,172.90405496367944,STOP,-7.999999999999993,14,0.2670044591945476
ESTC,HIGH,2022-09-12,90.36000061035156,2022-09-19,83.13120056152344,STOP,-7.999999999999995,15,0.30952033900719106
CMI,HIGH,2022-08-15,206.83099308443175,2022-09-19,190.2845136376772,STOP,-8.000000000000004,11,0.32302695879584586
DIS,HIGH,2023-11-27,93.53724304063041,2024-03-04,112.2446916487565,TARGET,20.000000000000004,10,0.2892406852977971
BILL,HIGH,2024-11-11,77.9800033569336,2024-11-25,93.57600402832031,TARGET,20.0,10,0.28844241252131875
RHI,HIGH,2023-12-11,75.82493025825163,2024-04-01,69.7589358375915,STOP,-8.000000000000004,10,0.2649964629924231
ATO,HIGH,2024-08-05,126.4491847122972,2025-03-03,151.73902165475664,TARGET,20.000000000000004,24,0.25569966169871466
IONQ,HIGH,2021-11-08,21.450000762939453,2021-11-15,19.734000701904296,STOP,-8.000000000000002,16,0.3319855384591466
IONQ,HIGH,2024-10-21,13.220000267028809,2024-10-28,15.86400032043457,TARGET,20.0,13,0.25194132324314866
WMT,HIGH,2022-04-11,49.855393868092925,2022-05-16,45.866962358645495,STOP,-7.999999999999993,14,0.3415051321704501
RUN,HIGH,2024-07-29,17.75,2024-08-05,16.330000000000002,STOP,-7.999999999999989,10,0.28691986873798364
FFIV,HIGH,2023-08-07,160.0,2023-10-16,147.20000000000002,STOP,-7.999999999999989,33,0.2657678965445428
MU,HIGH,2023-01-30,61.86035075614179,2023-02-20,56.91152269565045,STOP,-8.000000000000002,14,0.2782766115741464
COP,HIGH,2024-04-01,120.27215955627918,2024-05-20,110.65038679177685,STOP,-7.999999999999992,19,0.31336886024240157
BIIB,HIGH,2022-10-10,257.5799865722656,2022-11-28,309.0959838867187,TARGET,19.99999999999999,22,0.2664907338781606
HPE,HIGH,2022-01-10,15.315943844287743,2022-01-24,14.090668336744724,STOP,-7.999999999999997,14,0.25512677634812114
ADSK,HIGH,2022-08-15,232.3800048828125,2022-08-22,213.78960449218752,STOP,-7.99999999999999,10,0.26842148653057835
PAYX,HIGH,2023-07-24,113.40645387795702,2023-09-18,104.33393756772047,STOP,-7.99999999999999,29,0.31555494557236186
DRI,HIGH,2022-10-31,127.49287119791198,2023-05-29,149.9404754638672,TIME,17.606948572919773,68,0.2618345597324399
IP,HIGH,2024-05-27,42.64329495324633,2024-06-24,39.231831356986625,STOP,-8.000000000000004,16,0.2627836757540633
TIGR,HIGH,2022-12-05,5.75,2022-12-12,5.29,STOP,-7.999999999999999,36,0.30755268930916724
TWLO,HIGH,2024-10-07,69.16000366210938,2024-10-28,82.99200439453125,TARGET,20.0,15,0.2525298752114709
CDNS,HIGH,2022-08-08,186.82000732421875,2022-08-29,171.87440673828127,STOP,-7.999999999999992,12,0.287950766516212
GTLB,HIGH,2022-08-15,69.04000091552734,2022-08-22,63.51680084228516,STOP,-7.999999999999999,13,0.3082676074393136
